stand,plot,coordenada_de_parcela,tree_number,Status,Species,Defect,al_del_defecto,dbh_in,tht_ft,altcom_m,Pests,enferemedades,Coppiced,Permanent Plot,short_note,contractcode,farmername,cruisedate,plot_coordinate,defect_ht_ft,merch_ht_ft,Disease,status_id,cat_species_id,cat_defect_id,cat_disease_id,cat_pest_id,cat_coppiced_id,cat_permanent_plot_id,DBH (in),THT (ft),doyle_bf,dead_tree,alive_tree
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,8,51,5,,10,2,3.0,,,,0,0
